Antecedent,Consequent,Support,Confidence,Lift
Bag of Organic Bananas,Organic Baby Spinach,0.015542003415677151,0.13192363667494222,1.7513589920661838
Bag of Organic Bananas,Organic Hass Avocado,0.019229993410701557,0.16322803412949805,2.4742651586346356
Bag of Organic Bananas,Organic Raspberries,0.012291058725441416,0.10432896726878407,2.478267047758693
Bag of Organic Bananas,Organic Strawberries,0.0190316420800667,0.16154438832291756,1.967880309420447
Banana,Cucumber Kirby,0.010048680123179539,0.06799208389254112,2.2501536869163483
Banana,Large Lemon,0.012721380256310262,0.08607629489775027,1.803322022110552
Banana,Organic Avocado,0.016412732138294583,0.11105297877664294,2.04373758850894
Banana,Organic Fuji Apple,0.010610115245484986,0.07179090557539637,2.5762273428897093
Banana,Strawberries,0.013118082917579979,0.0887604922544983,1.9857089306622313
Organic Baby Spinach,Organic Hass Avocado,0.01053279184540699,0.13982861733464252,2.119568969241405
Organic Baby Spinach,Organic Strawberries,0.011830480211933354,0.15705614567526555,1.9132060219264102
Organic Hass Avocado,Organic Strawberries,0.012744913465029652,0.1931916628446211,2.3533969406363435
Organic Raspberries,Organic Strawberries,0.010280650323413526,0.24421019006548472,2.974887765392684
